FLOWUSDT,1INCHUSDT,FLOWUSDT_perc,1INCHUSDT_perc,spread,zscore
1.57,0.575,1.0680272108843538,0.8324887794990589,0.01860850791729618,-1.2001699131910932
1.58,0.5628,1.0748299319727892,0.8148255393079484,0.06152498827105091,-0.36023768663759326
1.56,0.5692,1.0612244897959184,0.8240915013754163,0.0242573264461301,-0.9926380634669878
1.51,0.563,1.0272108843537415,0.8151151006225568,-0.009014626160977812,-1.451060136421147
1.48,0.5601,1.0068027210884354,0.8109164615607356,-0.031190216896560985,-1.638832672817386
1.46,0.5615,0.9931972789115646,0.812943390762994,-0.054967517920762266,-1.7936764577028548
1.5,0.5693,1.0204081632653061,0.8242362820327205,-0.03601248076988428,-1.3966857624132774
1.52,0.5757,1.034013605442177,0.8335022441001882,-0.03328014259480461,-1.342149584030032
1.53,0.57,1.0408163265306123,0.8252497466338496,-0.007901131281984775,-0.9423761775331384
1.44,0.5655,0.9795918367346939,0.8187346170551615,-0.08575980656133764,-1.7997037751925027
1.43,0.5625,0.9727891156462585,0.8143911973360359,-0.08766559008090624,-1.6087793008548916
1.45,0.568,0.9863945578231292,0.822354133487766,-0.08250498696169717,-1.3932941198284947
1.47,0.571,1.0,0.8266975532068915,-0.07059920344212856,-1.1359085956879096
1.52,0.5795,1.034013605442177,0.8390039090777472,-0.043532816803351304,-0.7207212906115269
1.48,0.5664,1.0068027210884354,0.8200376429708991,-0.04818807150546722,-0.7082316459216865
1.55,0.5815,1.054421768707483,0.8418995222238309,-0.018928961123638954,-0.22578674638984064
1.62,0.6099,1.1020408163265307,0.8830172288982192,-0.025554210471723682,-0.24336925733395612
1.61,0.5945,1.0952380952380953,0.8607210076733749,0.00599610079449131,0.502504059788683
1.69,0.6134,1.1496598639455782,0.8880845519038656,0.03500253696777289,1.0926726512313016
1.79,0.6251,1.217687074829932,0.9050238888084552,0.1034350926940899,2.28526894207103
1.72,0.6133,1.1700680272108843,0.8879397712465614,0.06527234418378725,1.5412946490823043
1.67,0.6117,1.1360544217687074,0.8856232807296945,0.01958925964001712,0.6659503543841421
1.64,0.6068,1.1156462585034013,0.8785290285217895,0.0028098132247218466,0.42125067768239954
1.61,0.59,1.0952380952380953,0.8542058780946865,0.01813742551513875,0.7405457314759388
1.77,0.6079,1.2040816326530612,0.8801216157521355,0.1298419338485639,2.4023795926789484
1.85,0.653,1.2585034013605443,0.9454176921963227,0.08815887942607703,1.5048128231456086
1.85,0.6463,1.2585034013605443,0.9357173881569423,0.1062359628990408,1.5828189958157837
